"","peak_id","Feature","mz","ret","int","group_id","family_id","adducts","connected_to","keep_rep","status"
"1833","2417","15581","472.3066","6.971","7,113.5","27","27_1_F1","2M+NH4; M+NH4","[15580, 15582, 15585]; [15580, 15582, 15585]","false","filtered"
"1834","2418","15582","493.2358","6.971","4,422.9","27","27_1_F1","2M+K; M+2K-H; M+K","[15580, 15581, 15585]; [15580]; [15580, 15581, 15585]","false","filtered"
"1835","2416","15580","455.2798","6.971","3,954.9","27","27_1_F1","2M+ACN+H; 2M+H; M+2ACN+H; M+2H; M+3H; M+ACN+H; M+ACN+Na; M+H; M+K; M+Na","[15585]; [15581, 15582, 15585]; [15561]; [15585]; [15585]; [15585]; [15732]; [15581, 15582, 15585]; [15582]; [15585]","false","filtered"
"1836","2412","15561","451.2489","6.965","687.9","27","27_1_F1","2M+Na; M+2Na; M+2Na-H; M+ACN+Na; M+DMSO+H; M+Na","[15732]; [15732]; [15732]; [15732]; [15580]; [15732]","false","filtered"
"1829","2331","13982","335.2218","6.231","1,887.2","26","26_1_F1","2M+ACN+Na; 2M+Na; M+2Na; M+2Na-H; M+3Na; M+ACN+Na; M+Na","[13983]; [13983]; [13983]; [13983]; [13983]; [13983]; [13983]","true","keep_rep"
"1830","2332","13983","313.2382","6.242","1,154.0","26","26_1_F1","2M+ACN+H; 2M+H; M+2H; M+3H; M+ACN+H; M+H; M+Na","[13982]; [13982]; [13982]; [13982]; [13982]; [13982]; [13982]","false","filtered"
"1813","2241","12965","488.3016","5.775","115,790.8","25","25_3_F1","2M+3H2O+2H; 2M+NH4; M+; M+ACN+H; M+NH4","[12950]; [12963, 12968, 12970]; [13019]; [12911, 13019]; [12958, 12963, 12968, 12970, 12975]","true","keep_rep"
"1814","2242","12968","493.2570","5.775","20,705.1","25","25_3_F1","2M+ACN+Na; 2M+Na; M+2Na; M+2Na-H; M+3Na; M+ACN+Na; M+H+Na; M+Na","[12963]; [12963, 12965, 12970]; [12958, 12963, 12975]; [12963]; [12963]; [12963]; [12975]; [12958, 12963, 12965, 12970, 12975]","false","filtered"
"1815","2243","12970","509.2309","5.775","18,799.1","25","25_3_F1","2M+K; M+2K-H; M+H+K; M+K","[12963, 12965, 12968]; [12963]; [12958]; [12958, 12963, 12965, 12968, 12975]","false","filtered"
"1816","2235","12913","435.2540","5.761","7,762.4","25","25_3_F1","2M+H; M+CH3OH+H; M+H","[12926]; [12840]; [12926]","false","filtered"
"1817","2239","12950","502.3168","5.773","4,140.7","25","25_3_F1","2M+ACN+H; M+2H; M+CH3OH+H; M+H+Na","[12965]; [12990]; [12910]; [12990]","false","filtered"
"1818","2238","12948","453.2637","5.773","2,810.3","25","25_3_F1","2M+H; M+H","[12910]; [12910]","false","filtered"
"1819","2234","12911","491.2414","5.759","2,502.8","25","25_3_F1","2M+Na; M+2Na-H; M+K; M+Na","[12868, 12909]; [12842, 12965, 13019]; [12926]; [12868, 12909]","false","filtered"
"1820","2240","12963","471.2730","5.775","1,616.2","25","25_3_F1","2M+ACN+H; 2M+H; M+; M+2H; M+3H; M+ACN+2H; M+ACN+H; M+ACN+Na; M+H; M+H+K; M+H+Na; M+K; M+Na","[12968]; [12965, 12968, 12970]; [12990]; [12958, 12968, 12975]; [12968]; [12975]; [12968]; [12868]; [12958, 12965, 12968, 12970, 12975]; [12958]; [12975]; [12970]; [12968]","false","filtered"
"1821","2231","12990","513.3065","5.756","1,300.2","25","25_3_F1","2M+3H2O+2H; 2M+H; M+2Na; M+ACN+H; M+H; M+H+Na","[12868]; [13019]; [12950]; [12963]; [13019]; [12950]","false","filtered"
"1822","2233","12910","470.2913","5.759","1,220.1","25","25_3_F1","2M+NH4; M+ACN+Na; M+H; M+NH4","[12948]; [12840]; [12950]; [12840, 12948]","false","filtered"
"1823","2232","12909","507.2142","5.757","1,065.6","25","25_3_F1","2M+K; M+2Na-H; M+K","[12868, 12911]; [12836]; [12868, 12911]","false","filtered"
"1824","2236","12926","452.2798","5.765","675.0","25","25_3_F1","2M+NH4; M+; M+NH4","[12913]; [12911]; [12913]","false","filtered"
"1825","2245","12975","963.5242","5.775","362.2","25","25_3_F1","2M+Na; M+2Na-H; M+ACN+Na; M+H; M+Na","[12958, 12963, 12965, 12968, 12970]; [12963]; [12963]; [12968]; [12958, 12963, 12968]","false","filtered"
"1826","2237","13019","530.3315","5.771","294.7","25","25_3_F1","2M+NH4; M+ACN+H; M+IsoProp+Na+H; M+NH4","[12990]; [12965]; [12911, 12965]; [12990]","false","filtered"
"1827","2246","12958","979.4987","5.777","218.5","25","25_3_F1","2M+K; M+2K-H; M+H; M+K","[12963, 12965, 12968, 12970, 12975]; [12963]; [12970]; [12963, 12968, 12975]","false","filtered"
"1811","2221","12814","504.2965","5.705","7,005.0","25","25_2_F2","2M+NH4; M+NH4","[12811]; [12811]","true","keep_rep"
"1812","2219","12811","525.2262","5.705","441.7","25","25_2_F2","2M+ACN+Na; 2M+K; 2M+Na; M+2Na; M+2Na-H; M+3Na; M+ACN+Na; M+K; M+Na","[12779]; [12814]; [12779]; [12779]; [12779]; [12779]; [12779]; [12814]; [12779]","false","filtered"
"1801","2218","12732","309.2065","5.695","12,172.0","25","25_2_F1","2M+ACN+H; 2M+H; M+2H; M+3ACN+2H; M+3H; M+ACN+H; M+H; M+K; M+Na","[12733, 12899]; [12733, 12734, 12899]; [12733, 12899]; [12773]; [12733, 12840, 12899]; [12733, 12899]; [12733, 12734, 12899]; [12734]; [12733, 12899]","true","keep_rep"
"1802","2229","12868","486.2870","5.740","5,784.5","25","25_2_F1","2M+H; 2M+NH4; M+DMSO+H; M+IsoProp+Na+H; M+NH4","[12990]; [12813, 12909, 12911]; [12963]; [12840]; [12813, 12909, 12911]","false","filtered"
"1803","2222","12823","451.2490","5.708","4,857.4","25","25_2_F1","M+2Na-H","[12840]","false","filtered"
"1804","2224","12840","485.2907","5.718","3,998.0","25","25_2_F1","M+2ACN+H; M+2H; M+2Na; M+3H; M+CH3OH+H; M+DMSO+H; M+IsoProp+H","[12868, 12913]; [12899]; [12732, 12899]; [12860]; [12910]; [12823, 12910]; [12779]","false","filtered"
"1805","2228","12899","331.1900","5.736","3,220.8","25","25_2_F1","2M+ACN+Na; 2M+Na; M+2ACN+H; M+2H+Na; M+2Na; M+2Na-H; M+3ACN+2H; M+3Na; M+ACN+Na; M+IsoProp+H; M+Na","[12732]; [12732]; [12773]; [12840]; [12732]; [12732]; [12773]; [12732, 12840]; [12732]; [12836]; [12732]","false","filtered"
"1806","2225","12842","525.2835","5.718","3,212.6","25","25_2_F1","2M+ACN+H; 2M+Na; M+DMSO+H; M+Na","[12749]; [12835, 12836]; [12813, 12911]; [12835, 12836]","false","filtered"
"1807","2220","12813","469.2593","5.705","2,901.3","25","25_2_F1","2M+H; M+2ACN+H; M+H; M+Na","[12868]; [12859]; [12868]; [12842]","false","filtered"
"1808","2223","12836","541.2572","5.716","1,446.3","25","25_2_F1","2M+H; 2M+K; M+DMSO+H; M+K","[12899]; [12835, 12842]; [12909]; [12835, 12842]","false","filtered"
"1809","2227","12860","768.4554","5.734","956.3","25","25_2_F1","2M+NH4; M+2ACN+2H; M+NH4","[12859]; [12840]; [12859]","false","filtered"
"1810","2226","12859","773.4104","5.732","216.3","25","25_2_F1","2M+H; 2M+Na; M+Na","[12813]; [12860]; [12860]","false","filtered"
"1791","2217","12780","521.2581","5.689","7,641.4","25","25_1_F1","2M+3H2O+2H; 2M+H; 2M+K; M+H; M+K","[12749]; [12773]; [12748]; [12773]; [12748]","true","keep_rep"
"1792","2205","12698","556.2959","5.644","7,286.8","25","25_1_F1","2M+3H2O+2H; M+IsoProp+Na+H","[12747, 12748, 12755]; [12755]","false","filtered"
"1793","2208","12747","529.2810","5.673","4,370.0","25","25_1_F1","2M+ACN+H; 2M+H; M+2H; M+3H; M+ACN+H; M+CH3OH+H; M+H; M+Na","[12755]; [12698, 12748, 12755]; [12755]; [12755]; [12755]; [12773]; [12748, 12755]; [12755]","false","filtered"
