"","Feature","mz","rt","intensity","iso_group","status","shift"
"2324","2324","408.1416","4.110","425,868.2","264","keep_rep","C13*1 (z=1)"
"2328","2328","409.1450","4.111","70,440.5","264","filtered","none"
"2320","2320","407.1148","7.353","709,725.5","263","keep_rep","C13*1 (z=1)"
"2323","2323","408.1184","7.352","87,995.0","263","filtered","none"
"2310","2310","404.7613","1.324","301,339.6","262","keep_rep","C13*1 (z=1)"
"2315","2315","405.7691","1.324","249,181.0","262","filtered","none"
"2308","2308","404.1314","3.832","772,660.4","261","keep_rep","C13*1 (z=1)"
"2313","2313","405.1349","3.832","120,060.5","261","filtered","none"
"2303","2303","403.5559","7.750","476,719.0","260","keep_rep","C13*1 (z=2)"
"2307","2307","404.0575","7.751","127,277.7","260","filtered","none"
"2300","2300","402.9951","10.171","16,950,481.2","259","keep_rep","C13*1 (z=1)"
"2304","2304","403.9988","10.172","1,650,054.1","259","filtered","C13*1 (z=1)"
"2311","2311","404.9996","10.172","432,368.2","259","filtered","none"
"2290","2290","401.0829","3.997","373,924.2","258","keep_rep","C13*1 (z=1)"
"2296","2296","402.0865","3.996","46,811.1","258","filtered","none"
"2286","2286","400.8679","16.051","225,464,684.8","257","keep_rep","C13*1 (z=2); C13*1 (z=1); C13*(1+0.5)"
"2292","2292","401.3696","16.050","5,705,149.5","257","filtered","C13*1 (z=2); C13*1 (z=1); C13*(1+0.5)"
"2293","2293","401.8710","16.051","10,849,582.1","257","filtered","C13*1 (z=2); C13*1 (z=1)"
"2298","2298","402.3718","16.060","246,764.8","257","filtered","C13*1 (z=2)"
"2299","2299","402.8722","16.051","4,147,043.1","257","filtered","none"
"2271","2271","395.2440","1.384","2,581,223.3","256","keep_rep","C13*1 (z=1)"
"2277","2277","396.2476","1.384","604,831.8","256","filtered","none"
"2267","2267","393.7690","1.324","479,002.1","255","keep_rep","C13*1 (z=2)"
"2269","2269","394.2706","1.324","200,002.4","255","filtered","none"
"2260","2260","392.1599","7.353","1,086,090.9","254","keep_rep","C13*1 (z=1)"
"2264","2264","393.1633","7.353","146,467.0","254","filtered","none"
"2232","2232","387.1653","8.002","747,048.0","253","keep_rep","C13*1 (z=1)"
"2237","2237","388.1688","8.002","90,595.0","253","filtered","none"
"2231","2231","387.1538","7.957","1,011,616.5","252","keep_rep","C13*1 (z=1)"
"2236","2236","388.1574","7.957","131,240.1","252","filtered","none"
"2223","2223","386.1321","4.626","558,781.3","251","keep_rep","C13*1 (z=1)"
"2230","2230","387.1357","4.626","76,733.8","251","filtered","none"
"2216","2216","385.1788","1.485","3,583,329.3","250","keep_rep","C13*1 (z=1)"
"2225","2225","386.1821","1.485","859,383.0","250","filtered","none"
"2214","2214","385.1329","7.345","1,346,854.0","249","keep_rep","C13*1 (z=1)"
"2224","2224","386.1364","7.345","172,197.9","249","filtered","none"
"2201","2201","383.1146","7.539","503,155.3","248","keep_rep","C13*1 (z=1)"
"2206","2206","384.1182","7.539","64,035.8","248","filtered","none"
