"feature_name","mz","rt","metabolite_annotation","adducts_anno","neutral_loss_annotation","ISF_anno","iso_anno","group","cor_group","check_group","user_anno"
"FT7406",701.3379,201,"","",NA,"","",NA,"corgroup186","",""
"FT5046",704.3145,138.5,"","",NA,"","",NA,"corgroup330","",""
"FT9981",705.2141,264.7,"","",NA,"","",NA,"corgroup47","",""
"FT1251",707.225,33.9,"","",NA,"","",NA,"corgroup129","",""
"FT5031",709.2695,138.1,"","",NA,"","",NA,"corgroup207","",""
"FT12104",710.3982,322.3,"","",NA,"","",NA,NA,"",""
"FT12119",715.3528,322.6,"","",NA,"","",NA,"corgroup342","",""
"FT8914",721.3389,236.1,"","",NA,"","",NA,"corgroup95","",""
"FT6490",723.1116,177.6,"","",NA,"","","group29","corgroup176","+",""
"FT13403",723.4348,358.7,"","",NA,"","",NA,"corgroup240","",""
"FT0486",724.7818,29,"","",NA,"","",NA,"corgroup134","",""
"FT8973",732.3283,237.3,"","",NA,"","",NA,"corgroup95","",""
"FT0593",734.8168,28.5,"","",NA,"","",NA,"corgroup134","",""
"FT0559",736.8112,28.6,"","",NA,"","",NA,"corgroup134","",""
"FT1259",739.1622,32.7,"","",NA,"","",NA,"corgroup129","",""
"FT8429",748.323,224.2,"","",NA,"","","group30","corgroup157","+",""
"FT7206",750.3203,195.4,"","",NA,"","",NA,"corgroup172","",""
"FT0560",752.7862,28.3,"","",NA,"","",NA,"corgroup134","",""
"FT7195",755.2775,195.1,"","",NA,"","",NA,"corgroup172","",""
"FT5162",757.2207,140.6,"","",NA,"","",NA,"corgroup206","",""
"FT4957",757.2212,135.1,"","",NA,"","",NA,"corgroup153","",""
"FT7822",764.3152,214.4,"","",NA,"","",NA,"corgroup31","",""
"FT7588",764.3155,204.7,"","",NA,"","",NA,"corgroup55","",""
"FT8953",765.4074,236.7,"","",NA,"","",NA,"corgroup45","",""
"FT12860",768.4554,344.1,"","",NA,"","",NA,NA,"",""
"FT7594",769.2696,206.6,"","",NA,"","",NA,"corgroup114","",""
"FT7924",769.2699,213.7,"","",NA,"","",NA,"corgroup164","",""
"FT4653",771.1996,129.6,"","",NA,"","",NA,"corgroup171","",""
"FT4645",773.2153,130.1,"","",NA,"","",NA,"corgroup232","",""
"FT4964",779.202,135.8,"","",NA,"","",NA,"corgroup207","",""
"FT11298",784.4496,297.9,"","",NA,"","",NA,"corgroup128","",""
"FT10352",784.4499,272.9,"","",NA,"","",NA,"corgroup196","",""
"FT11764",784.4499,312.1,"","",NA,"","",NA,"corgroup126","",""
"FT5254",787.2308,145.1,"","",NA,"","",NA,"corgroup149","",""
"FT8682",788.4812,229.5,"","",NA,"","",NA,"corgroup40","",""
"FT9357",791.4198,248.2,"","",NA,"","",NA,"corgroup145","",""
"FT8655",793.4358,229.1,"","",NA,"","",NA,"corgroup40","",""
"FT10623",796.4136,282.2,"","",NA,"","",NA,"corgroup136","",""
"FT8585",800.4449,227.1,"","",NA,"","","group32","corgroup160","+",""
"FT9382",800.4451,248.4,"","",NA,"","",NA,"corgroup145","",""
"FT8957",800.4452,236.9,"","",NA,"","",NA,"corgroup95","",""
"FT5172",801.1868,140.9,"","",NA,"","",NA,"corgroup162","",""
"FT0519",802.7986,28.5,"","",NA,"","",NA,"corgroup134","",""
"FT8593",805.4,227.3,"","",NA,"","",NA,"corgroup160","",""
"FT5252",809.2126,144,"","",NA,"","",NA,"corgroup337","",""
"FT4650",811.1744,130.6,"","",NA,"","",NA,"corgroup232","",""
"FT10229",816.4399,268.9,"","",NA,"","",NA,"corgroup219","",""
"FT7768",816.44,205.4,"","",NA,"","",NA,"corgroup55","",""
"FT4615",817.1756,131.4,"","",NA,"","",NA,NA,"",""
"FT0597",818.7751,28.2,"","",NA,"","",NA,"corgroup134","",""
"FT10730",821.3618,283.3,"","",NA,"","",NA,"corgroup115","",""
"FT7747",832.4348,208.3,"","",NA,"","",NA,"corgroup165","",""
"FT7171",832.4349,194.8,"","",NA,"","",NA,"corgroup327","",""
"FT8659",838.3513,229.2,"","",NA,"","",NA,"corgroup181","",""
"FT10719",843.3463,282.9,"","",NA,"","",NA,"corgroup136","",""
"FT6880",855.3309,186.5,"","",NA,"","",NA,"corgroup167","",""
"FT6304",855.3314,173.8,"","",NA,"","",NA,"corgroup176","",""
"FT14252",856.456,383.2,"","",NA,"","",NA,NA,"",""
"FT4652",857.1677,130.1,"","",NA,"","",NA,"corgroup58","",""
"FT11058",862.3771,291.5,"","",NA,"","",NA,"corgroup133","",""
"FT5170",863.1577,141.9,"","",NA,"","",NA,"corgroup321","",""
"FT11051",870.3865,291.6,"","",NA,"","",NA,"corgroup131","",""
"FT0562",870.7894,28.5,"","",NA,"","",NA,"corgroup134","",""
"FT4655",879.1501,128.7,"","",NA,"","",NA,"corgroup210","",""
"FT13444",879.4307,359.2,"","",NA,"","",NA,NA,"",""
"FT0521",886.7645,27.8,"","",NA,"","",NA,"corgroup134","",""
"FT10006",887.9173,263.4,"","",NA,"","",NA,"corgroup138","",""
"FT9972",896.4304,264.3,"","",NA,"","",NA,"corgroup143","",""
"FT10022",901.3809,264.5,"","",NA,"","",NA,"corgroup52","",""
"FT11094",908.3121,291.9,"","",NA,"","",NA,NA,"",""
"FT7651",910.3763,206.1,"","",NA,"","",NA,"corgroup161","",""
"FT6715",917.3681,184.2,"","",NA,"","",NA,"corgroup167","",""
"FT6739",934.3919,184.6,"","",NA,"","",NA,"corgroup146","",""
"FT9144",934.5391,241,"","",NA,"","",NA,"corgroup16","",""
