"Feature","mz","rt","Orbi_P_E2_EXBLANKA","Orbi_P_E2_EXBLANKB","Orbi_P_E2_EXBLANKC","Orbi_P_E2_Wasteblank4","Orbi_P_E2_Wasteblank5","Orbi_P_E2_Wasteblank6","Orbi_P_E2_WS03A","Orbi_P_E2_WS03B","Orbi_P_E2_WS03C"
"2543",223.07581,6.165,79413,88796,103516,104854,98490,93355,95761,109805,92875
"2544",223.08148,0.536,0,0,0,0,0,0,906736,730144,841858
"2545",223.09444,2.162,63228,47100,100098,211012,61720,202667,430537,450724,422900
"2546",223.09448,2.346,123015,165979,182118,135225,173013,104532,361017,532825,463755
"2547",223.09482,3.443,189584,212578,142719,115027,202851,213698,301624,328706,234800
"2548",223.09622,5.323,155238,139458,128567,114871,100774,131262,133463,184620,191018
"2549",223.09656,6.055,229133,267255,233888,256843,242531,259452,299710,285252,278215
"2550",223.11899,11.646,790249,765621,720275,721906,600677,872597,941009,669061,748340
"2551",223.13162,4.953,151204,135117,121158,110770,173360,130625,273462,224281,305602
"2552",223.13295,2.175,21664,28659,21854,21433,28083,20929,193847,183197,246626
"2553",223.13313,2.916,64675,37888,37514,18586,48667,16155,208860,220930,194275
"2554",223.13327,1.895,23671,27683,20214,14234,11901,12047,1136087,1132830,1079987
"2555",223.13336,2.266,26614,22184,14980,22245,19206,14839,206797,199207,216793
"2556",223.1548,2.364,236601,185904,170884,110755,103196,82843,105937,83773,114153
"2557",223.1691,5.959,353816,367210,399199,198535,394450,258129,420231,356705,484416
"2558",223.16983,7.355,212536,69503,52405,72279,51640,59348,260228,187846,149586
"2559",223.16985,6.154,218559,185235,234308,190781,180562,179881,280613,266242,215614
"2560",223.20598,6.572,113597,6638,9990,0,0,0,0,0,0
"2561",223.20622,6.622,155017,6638,9990,0,0,0,0,0,0
"2562",223.91734,0.615,45521,9928,46986,45136,38805,40187,194509,153298,183634
"2563",223.92004,0.47,421765,415945,409211,398503,414393,395815,119474,124450,79122
"2564",223.98866,11.673,1202114,1138260,1348219,1012715,885024,949901,842546,1000031,1026963
"2565",223.98895,0.418,49334,56652,59040,82143,49397,59369,313823,445157,472853
"2566",224.01236,11.766,1033666,757804,866412,1884537,1322144,648124,1590812,1086340,537682
"2567",224.09016,1.85,81740,1870,2627,1464,1856,2156,69574,33357,17626
"2568",224.10559,3.742,1725758,18919,64356,1326,0,929,0,0,0
"2569",224.1134,0.51,4412,0,1394,4424,1347,1508,566842,532949,519107
"2570",224.12653,2.56,5204284,723902,732024,270543,424662,259220,256808,341367,261856
"2571",224.12662,3.354,2470379,670564,643739,483490,483952,156494,378975,627189,448707
"2572",224.12663,3.823,7176564,1794709,2130875,137646,186956,231580,480197,344063,329816
"2573",224.12712,2.645,1525808,240864,302163,411102,265184,131709,224785,477390,328889
"2574",224.12813,11.659,1993399,1560381,1983955,1850950,1611444,1724086,2081904,1711772,1512458
"2575",224.12839,0.791,987102,959004,957682,967813,967193,1017280,1041309,954113,1109054
"2576",224.12874,8.191,428713,145459,144448,218334,259050,193468,206139,97583,329486
"2577",224.12885,3.248,865740,375201,457710,233269,231567,315106,346320,523042,470141
