Compound,mz,kmd,rt,Orbi_P_E2_EXBLANKA,Orbi_P_E2_EXBLANKB,Orbi_P_E2_EXBLANKC,Orbi_P_E2_WS03A,Orbi_P_E2_WS03B,Orbi_P_E2_WS03C,Orbi_P_E2_Wasteblank4,Orbi_P_E2_Wasteblank5,Orbi_P_E2_Wasteblank6,cor
12075,491.2409216,0.24092159999997875,5.3506947,0,0,0,4822.9346,5789.5186,4775.42,0,0,0,TRUE
12079,486.2857809,0.2857809000000202,5.354689,0,0,0,2803.137,3091.1091,3061.5317,0,0,0,TRUE
121,255.9417344,0.9417344000000014,0.38238192,156.61841,214.42197,171.43184,4729.9688,5653.565,5424.2583,274.04895,412.787,330.22168,TRUE
12104,710.3982441,0.3982441000000563,5.37088,0,0,0,2951.3281,3267.2297,3202.6077,0,0,0,TRUE
12119,715.3528081,0.35280809999994744,5.3769574,0,0,0,1507.5387,1726.5046,2099.957,0,0,0,TRUE
1213,198.0977077,0.09770770000000084,0.5517218,661.54865,640.03973,1003.6848,329680.03,307596.78,283609.38,721.03455,341.42697,274.51477,TRUE
12154,459.3110978,0.3110978000000273,5.391085,0,0,0,2552.574,2648.509,2757.8335,0,0,0,TRUE
12157,481.2934862,0.293486200000018,5.393103,0,0,0,1220.9304,1250.029,1382.6956,0,0,0,TRUE
12185,369.2044415,0.20444149999997308,5.409262,0,0,0,897.0935,869.36957,688.09564,0,0,0,TRUE
1221,139.0574944,0.05749439999999595,0.5509528,87.6062,208.13156,156.15424,410619.28,412392.56,392565.3,126.04351,150.45935,63.57099,TRUE
12230,181.1228488,0.12284880000001408,5.4259205,5487.802,5875.8267,5309.168,269139.6,270849.6,247271,6185.3525,3446.0718,4995.288,TRUE
12237,395.1592859,0.1592858999999862,5.423407,0,0,0,698.27094,480.29507,710.35455,0,0,0,TRUE
12244,471.2744437,0.2744437000000062,5.4347095,0,0,0,11493.534,12745.085,12629.892,0,0,0,TRUE
1225,414.0458666,0.04586660000001075,0.5478156,0,0,0,10640.569,11759.744,11798.027,0,0,0,TRUE
12254,488.3015486,0.3015485999999896,5.437338,0,0,0,11965.931,12698.26,11750.016,0,0,0,TRUE
12261,509.2307055,0.23070549999999912,5.4413695,0,0,0,12618.552,11890.804,11686.045,0,0,0,TRUE
12270,469.259929,0.25992899999999963,5.445406,0,0,0,3741.824,4246.4346,3913.8643,0,0,0,TRUE
12272,491.2409363,0.2409362999999871,5.4454117,0,0,0,24114.653700000003,27141.4546,22884.7285,0,0,0,TRUE
12276,507.2145696,0.21456960000000436,5.4474297,0,0,0,4212.386,4611.0566,3921.2864,0,0,0,TRUE
