id,rt,mz
pos_9646,5.072,584.25458
pos_9662,3.735,585.237
pos_9671,4.718,586.26996
pos_9672,4.983,586.26996
pos_9673,4.327,586.2702
pos_9698,4.762,588.28595
pos_9699,4.821,588.34027
pos_9725,4.86,591.22504
pos_9728,4.983,591.22546
pos_9977,4.985,613.20752
pos_9738,3.703,592.29572
pos_9998,10.135,615.26013
pos_9749,10.133,593.2771
pos_9765,3.196,595.1673
pos_9843,4.201,602.26495
pos_9845,3.733,602.26508
pos_9849,4.655,602.26526
pos_9874,4.542,604.28082
pos_9914,3.61,608.29089
pos_9915,3.673,608.29095
pos_9926,9.928,609.27289
pos_9927,9.725,609.27301
pos_9946,2.958,611.16327
pos_9975,4.872,613.20746
pos_8756,4.406,506.31226
pos_8501,4.406,489.28485
pos_1035,0.519,155.04291
pos_1537,0.512,177.0249
pos_10354,4.849,654.38727
pos_6162,4.86,361.11029
pos_11150,4.86,870.38678
pos_8199,5.964,470.29102
pos_8698,5.964,502.31689
pos_3052,1.827,243.05338
pos_6407,1.841,370.1138
pos_3923,5.167,277.08411
pos_5689,8.01,343.15454
pos_1783,1.38,188.06848
pos_6993,2.015,399.10568
pos_1723,0.502,185.03262
pos_6816,2.81,389.21771
pos_7227,2.81,411.19974
pos_969,1.166,151.07565
pos_3855,1.182,275.11047
pos_5599,7.3,339.19168
pos_7943,7.033,453.26422
pos_8295,7.035,475.24628
pos_8328,6.125,477.26205
pos_9674,4.076,586.27045
