Pathway,Mummichog_Pvals,GSEA_Pvals,Combined_Pvals,Run,N_features
Vitamin B9 (folate) metabolism,0.02024,0.5167,0.05814,177,1927
Purine metabolism,0.2017,0.06818,0.07271,178,1927
Vitamin B9 (folate) metabolism,0.1926,0.5714,0.3529,178,1927
Purine metabolism,0.02867,0.04167,0.00923,179,1927
Vitamin B9 (folate) metabolism,0.2434,0.6034,0.4285,179,1927
Purine metabolism,0.5624,0.2542,0.4211,180,1927
Vitamin B9 (folate) metabolism,0.4402,0.7826,0.7116,180,1927
Purine metabolism,0.182,0.05333,0.0547,181,1927
Vitamin B9 (folate) metabolism,0.5418,0.7885,0.7905,181,1927
Purine metabolism,0.01059,0.01235,0.0013,182,1927
Vitamin B9 (folate) metabolism,0.2064,0.7833,0.4563,182,1927
Purine metabolism,0.5757,0.2152,0.3826,183,1927
Vitamin B9 (folate) metabolism,0.5008,0.451,0.5619,183,1927
Purine metabolism,0.00979,0.0137,0.00133,184,1927
Vitamin B9 (folate) metabolism,0.1488,0.8913,0.4006,184,1927
Purine metabolism,0.3532,0.02778,0.05518,185,1927
Vitamin B9 (folate) metabolism,0.2056,0.8621,0.484,185,1927
Purine metabolism,0.06037,0.1286,0.04548,186,1927
Vitamin B9 (folate) metabolism,0.1897,0.8906,0.4693,186,1927
Purine metabolism,0.4555,0.01299,0.03627,187,1927
Vitamin B9 (folate) metabolism,0.1124,0.44,0.1981,187,1927
Purine metabolism,0.3184,0.02857,0.05186,188,1927
Vitamin B9 (folate) metabolism,0.3015,0.7959,0.5825,188,1927
Purine metabolism,0.1843,0.01613,0.02027,189,1927
Vitamin B9 (folate) metabolism,0.0922,0.2245,0.101,189,1927
Purine metabolism,0.0495,0.05,0.01733,190,1927
Vitamin B9 (folate) metabolism,0.00635,0.5965,0.0249,190,1927
Purine metabolism,0.3094,0.06154,0.09446,191,1927
Vitamin B9 (folate) metabolism,0.00239,0.1667,0.00352,191,1927
Purine metabolism,0.1058,0.02564,0.01874,192,1927
Vitamin B9 (folate) metabolism,0.1771,0.8594,0.4388,192,1927
Purine metabolism,0.3265,0.01429,0.02971,193,1927
Vitamin B9 (folate) metabolism,0.1894,0.5769,0.3512,193,1927
Purine metabolism,0.2542,0.05556,0.07428,194,1927
Vitamin B9 (folate) metabolism,0.1755,0.3281,0.2219,194,1927
Purine metabolism,0.3861,0.02632,0.05679,195,1927
Vitamin B9 (folate) metabolism,0.1818,0.9091,0.4627,195,1927
Purine metabolism,0.3185,0.1607,0.2033,196,1927
Vitamin B9 (folate) metabolism,0.03466,0.3519,0.06594,196,1927
Purine metabolism,0.2797,0.07463,0.1016,197,1927
Vitamin B9 (folate) metabolism,0.2497,0.78,0.5134,197,1927
Purine metabolism,0.2389,0.02632,0.03816,198,1927
Vitamin B9 (folate) metabolism,0.4119,0.283,0.3671,198,1927
Purine metabolism,0.09184,0.01136,0.00821,199,1927
Vitamin B9 (folate) metabolism,0.1787,0.9512,0.4712,199,1927
Purine metabolism,0.602,0.01724,0.05778,200,1927
Vitamin B9 (folate) metabolism,0.2436,0.878,0.5437,200,1927
Purine metabolism,0.4127,0.01316,0.03376,201,1927
Vitamin B9 (folate) metabolism,0.2467,0.8864,0.5511,201,1927
Purine metabolism,0.229,0.03896,0.05104,202,1927
Vitamin B9 (folate) metabolism,0.1686,0.1818,0.1375,202,1927
Purine metabolism,0.03824,0.06098,0.01647,203,1927
Vitamin B9 (folate) metabolism,0.1837,0.4211,0.2754,203,1927
Purine metabolism,0.01496,0.04167,0.00522,204,1927
Vitamin B9 (folate) metabolism,0.1029,0.5686,0.2246,204,1927
Purine metabolism,0.6852,0.01515,0.0578,205,1927
Vitamin B9 (folate) metabolism,0.1948,0.68,0.4002,205,1927
Purine metabolism,0.1738,0.02778,0.03058,206,1927
Vitamin B9 (folate) metabolism,0.1445,0.6,0.2987,206,1927
Purine metabolism,0.4809,0.02299,0.06086,207,1927
Vitamin B9 (folate) metabolism,0.7639,0.5147,0.7602,207,1927
Purine metabolism,0.2153,0.169,0.157,208,1927
Vitamin B9 (folate) metabolism,0.09078,0.2931,0.1231,208,1927
Purine metabolism,0.1384,0.02667,0.02436,209,1927
Vitamin B9 (folate) metabolism,0.07557,0.5385,0.171,209,1927
Purine metabolism,0.03837,0.05,0.01392,210,1927
Vitamin B9 (folate) metabolism,0.2066,0.82,0.4701,210,1927
Purine metabolism,0.1988,0.04,0.04639,211,1927
Vitamin B9 (folate) metabolism,0.2057,0.7273,0.4339,211,1927
Purine metabolism,0.1943,0.3137,0.2314,212,1927
Vitamin B9 (folate) metabolism,0.1005,0.74,0.2677,212,1927
Purine metabolism,0.2266,0.08571,0.09598,213,1927
Vitamin B9 (folate) metabolism,0.1121,0.5455,0.232,213,1927
Purine metabolism,0.5032,0.09836,0.1983,214,1927
