m.z	p.value	t.score	rt
229.95902	1.64942391259614e-5	-9.57277315092927	274.8
343.04788	1.64942391259614e-5	-10.1237631538012	741
152.06472	1.67739358864104e-5	-10.26599481787	384
275.08881	1.67739358864104e-5	12.5930818198876	619.2
72.00883	1.68156384578031e-5	-9.75614881091421	475.8
298.98189	1.69011764270281e-5	13.1245270823842	441
134.06125	1.72099540556463e-5	-10.9674071341662	410.4
335.0955	1.75112408136488e-5	13.3572725697019	489.6
359.16836	1.75112408136488e-5	-9.56038043827507	519
369.19827	1.75450544109172e-5	14.4705999248626	845.4
410.92715	1.76375016065071e-5	20.1944843741041	661.2
460.18021	1.76448507458828e-5	10.4591100883857	624.6
405.10721	1.7654921457928e-5	10.5551629315062	441
198.02534	1.76694567474919e-5	-18.9972250340562	481.2
199.02613	1.76694567474919e-5	-20.4157550007867	481.2
237.02945	1.77165803321991e-5	9.82680731730886	441.6
114.01967	1.78826634963592e-5	-14.9499549145099	532.2
315.08137	1.84544258738255e-5	-15.376578034308	303
566.05122	1.84768692401353e-5	-9.77334798514326	600.6
282.02041	1.85311528069382e-5	-9.47704896828848	600.6
106.02855	1.86167244173992e-5	-21.4661693908688	351.6
612.17064	1.86167244173992e-5	-20.6584840817649	240.6
361.13036	1.90550720306255e-5	-20.5691570325437	350.4
201.08818	1.92954377865846e-5	-10.0814731965105	183.6
306.08646	1.92954377865846e-5	13.9248238811413	486.6
464.32418	1.93916339125958e-5	-22.4280978183091	174
283.09134	1.94311197486385e-5	-13.9186257358912	474.6
