m.z	p.value	t.score	rt
112.04047	1.28892720225388e-4	-7.38619135540694	249
432.10602	1.31772894494681e-4	7.29240378418593	231.6
449.11341	1.31772894494681e-4	-7.72406176262045	409.2
162.02328	1.32646311824783e-4	-9.65385970447391	178.2
357.13321	1.33066330309462e-4	7.30501211163739	519
279.0712	1.34768152824422e-4	13.8325877894413	282
778.56024	1.35620404329404e-4	-14.171442031734	91.8
168.06672	1.39207610964054e-4	7.8907789028381	172.8
213.01704	1.41123817265882e-4	10.5435688875151	532.2
218.05181	1.44049691740415e-4	8.82698478701622	438.6
229.04669	1.44049691740415e-4	-9.03209185298629	638.4
451.11035	1.56103565130895e-4	-7.14765727561153	409.8
742.06846	1.56103565130895e-4	-12.0580229063751	619.2
281.09922	1.56399690835431e-4	-8.74271071869623	199.2
346.05596	1.57641426672112e-4	-8.85677727405962	564
867.51796	1.59136606697288e-4	-7.61929641399984	76.8
125.0244	1.62634012687164e-4	10.7515022973286	577.8
412.8824	1.66940523121537e-4	7.47578161772962	587.4
304.06655	1.67031595976018e-4	-13.5315120992945	247.8
289.06808	1.70517434301146e-4	-7.22890425888754	633
513.0762	1.74797364046652e-4	-13.4849436346779	430.8
515.98274	1.75087677273519e-4	-10.7447110067638	627
726.54364	1.75751000304034e-4	-7.67041982848954	88.8
151.02619	1.76762064892327e-4	7.53646119632872	665.4
89.02449	1.76926128969778e-4	7.06961332981532	232.8
283.06873	1.77484369666254e-4	12.2226148424919	661.2
233.07809	1.7906758131083e-4	8.95084527856122	363
315.00244	1.8087116444407e-4	11.8100260761912	367.2
410.02732	1.8087116444407e-4	-8.50028365720876	529.2
266.00491	1.85812309749683e-4	-9.12020542564695	304.2
434.86438	1.85818082600353e-4	8.92481216985127	591.6
207.00415	1.90411863270546e-4	-12.898667663781	319.8
121.0507	1.91483228444262e-4	7.10927487319333	319.8
545.96833	1.92508296864711e-4	-7.40589901596465	614.4
497.09378	1.92947584829877e-4	6.87005647118801	517.8
390.89309	1.94861247341725e-4	12.4770405069795	660.6
630.8188	1.96482274727755e-4	7.85540905020274	591.6
349.01061	1.99454655379916e-4	-8.00389729887359	442.8
296.07374	2.03390469027649e-4	10.5227407564502	301.2
246.06338	2.05444757544029e-4	-12.7749285280706	531
323.04159	2.15467747709299e-4	-6.80332133715665	333.6
219.05112	2.24382134136504e-4	-10.3943449857705	654
173.0092	2.28684396042354e-4	6.77919399651937	652.2
218.04041	2.29526181711094e-4	-7.12979657464029	411.6
219.04553	2.29526181711094e-4	9.14374387461651	437.4
135.02998	2.40837047890348e-4	-8.01498106941273	403.2
171.00647	2.40837047890348e-4	-11.8848389060524	481.8
412.03158	2.42522766910679e-4	-12.3632559230725	510
130.09069	2.43150990031346e-4	-7.7012106733297	477.6
267.07371	2.4405526234766e-4	-6.67982188553957	564
217.04846	2.45368283562593e-4	9.16628318061767	436.8
154.04867	2.46289700329869e-4	-7.48919254404139	382.8
270.95729	2.53490912461543e-4	8.84774558965557	421.8
283.10254	2.56005274104944e-4	-6.82185875017213	477.6
286.99792	2.65786590838704e-4	-10.3011180029427	298.8
568.36184	2.73759619256652e-4	-8.19819419367975	94.2
307.03376	2.75355600192263e-4	-6.54258786704217	496.2
396.26041	2.76818665550637e-4	-9.73577239583433	95.4
103.05309	2.79705647623828e-4	6.55580908064909	519
332.99181	2.79705647623828e-4	-11.9777997614555	247.8
308.95148	2.8183817464164e-4	7.23007614846129	441
413.22295	2.8183817464164e-4	-11.2225216982249	249
504.01137	2.8183817464164e-4	6.76231533546951	588.6
832.60679	2.82145674092942e-4	-11.0314451411251	155.4
270.9319	2.8241287702609e-4	-7.43589956152873	547.2
